# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = code_7_model
# start_datetime = 2022-03-13 18:16:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\xbja9izo.json
# init = 2 (Default)
# random
#   seed = 46309
# output
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\code_7-20220313191651_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.360731
# Diagonal elements of inverse mass matrix:
# 1.87581, 1.72852, 1.66061, 1.89026, 1.89721, 1.71853, 0.869683
-2.795,0.856937,0.360731,3,7,0,12.466,-1.30247,0.105792,-0.209037,1.38448,-1.01755,-0.695478,0.0971038
-2.75171,0.856254,0.360731,3,7,0,9.26711,0.817725,-0.0127638,-0.272023,-1.85338,0.237346,0.667364,0.288777
-4.62795,0.925564,0.360731,3,7,0,6.69434,-1.8394,-1.4878,-0.45172,1.64507,-1.6031,-0.750103,-0.906209
-1.02985,0.994682,0.360731,3,7,0,6.49606,-0.216789,-1.50238,-1.09823,0.00789249,-0.275926,-0.251123,-0.467756
-3.02981,0.825085,0.360731,3,7,0,4.61817,1.04359,-1.44183,-0.740069,-1.00656,0.922897,-1.12293,-0.357685
-3.44725,0.979394,0.360731,3,7,0,4.88001,-0.579393,1.82188,1.27877,1.63047,-0.444036,1.71936,0.772097
-2.71693,0.978461,0.360731,3,15,0,7.24092,0.12404,0.476698,-0.0845774,-0.205201,-0.512949,2.29642,0.481248
-2.31137,0.911325,0.360731,3,7,0,7.69505,-1.91628,-0.258245,0.0263918,0.733625,0.528449,0.325899,-0.0549624
-1.2696,1,0.360731,3,7,0,2.90093,-1.10503,-0.552269,0.302663,0.61201,-0.373988,0.656612,-0.0360385
-2.45343,0.963993,0.360731,3,7,0,3.86861,2.12776,1.64364,0.142797,0.205571,0.0138769,-0.0180871,0.658093
-1.74823,0.887618,0.360731,3,15,0,6.66911,0.158388,0.0582907,0.498133,-0.766054,-1.70525,-0.785829,-0.429671
