# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = code_7_model
# start_datetime = 2022-03-13 18:16:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\xbja9izo.json
# init = 2 (Default)
# random
#   seed = 46309
# output
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\code_7-20220313191651_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.358736
# Diagonal elements of inverse mass matrix:
# 1.86068, 1.87749, 2.09803, 2.02056, 2.15615, 2.06022, 0.952073
-1.88681,0.99517,0.358736,2,3,0,3.41833,1.98548,0.834916,1.31793,1.1579,1.93688,1.42658,1.61183
-1.08493,0.942977,0.358736,3,11,0,6.4119,0.167467,-0.451883,-0.443495,-1.04531,-1.12759,-0.108807,-0.123134
-0.699036,0.714311,0.358736,3,7,0,5.96762,-0.349193,0.153521,0.20647,0.886664,0.840288,-0.161228,0.306936
-1.76159,0.797574,0.358736,3,7,0,4.24819,0.680778,0.580839,0.34341,-0.141287,0.935724,0.703659,1.05151
-1.31738,0.756058,0.358736,3,15,0,5.77491,-0.677135,-1.40436,0.0943794,0.54353,-0.481314,-0.376385,-0.529794
-1.86809,0.982128,0.358736,3,15,0,3.85619,-1.16379,-0.714849,-1.29737,-2.38316,-1.9574,-1.35637,-1.37711
-3.30603,0.945465,0.358736,3,7,0,4.24988,-2.87394,-1.59526,-2.99147,-1.16756,-1.20364,-1.21741,-1.54994
-5.6077,0.90462,0.358736,3,7,0,8.81052,-1.14931,-3.54215,-0.637316,-2.23221,-2.08931,-3.51017,-1.926
-3.56122,0.786302,0.358736,3,7,0,10.1634,-1.32084,0.955435,-1.79048,-0.209233,-0.404865,1.06314,-0.463372
-2.36005,0.978215,0.358736,3,7,0,6.31282,-1.3285,-0.768888,-0.726576,-1.71664,0.515808,-1.85873,-0.713202
-3.45376,0.750265,0.358736,3,7,0,6.89711,-0.979417,-0.833394,-0.800244,0.535942,-2.29498,-1.08715,-0.22764
-4.79101,0.967941,0.358736,3,7,0,7.12711,-1.99382,-1.63776,-1.88614,-3.2146,-0.383492,-1.5877,-0.90436
-3.79464,0.839738,0.358736,4,15,0,7.65284,-0.163446,-0.12259,-0.332723,1.67886,-1.16097,-0.20979,-0.724735
-2.63355,1,0.358736,3,7,0,4.98159,-1.71241,-1.641,-1.62723,-3.03688,-0.75194,-1.32525,-1.40995
-2.18604,0.983346,0.358736,3,7,0,4.1987,-1.71755,-2.08795,-0.397187,-0.201618,-0.946512,-1.774,-1.12
-2.2106,0.876686,0.358736,4,15,0,8.90441,1.44795,2.16027,0.264711,0.0441567,0.707283,1.60491,0.802642
-5.46519,0.774523,0.358736,3,7,0,8.82844,0.921948,-1.15286,2.03969,2.23061,2.22844,1.66082,1.48553
-4.75576,1,0.358736,3,7,0,8.6056,0.126463,-0.453239,2.29413,2.69193,1.6726,1.34064,1.3877
-3.5202,0.996364,0.358736,3,7,0,7.11149,0.849263,0.802216,2.75912,0.827121,2.25721,2.56947,1.29048
-5.49639,0.891961,0.358736,3,7,0,7.88112,0.0561737,0.902058,2.67539,2.68719,2.81065,2.5833,2.01769
-8.26802,0.842192,0.358736,4,23,0,13.7047,-1.47993,-0.571074,-2.29692,-1.41591,-0.964897,-5.05998,-1.77515
-6.46744,0.994163,0.358736,3,7,0,12.8161,-0.878817,0.473332,-1.63838,-3.75498,-2.38883,-2.2048,-1.53213
-4.57088,0.939133,0.358736,3,7,0,10.3018,-1.0712,-1.91373,-1.03913,-0.402118,-3.70863,-0.817256,-1.40818
-2.67157,0.925304,0.358736,4,15,0,6.6152,0.620963,1.23617,-0.167003,-0.939613,1.4296,0.115816,0.744531
-6.76402,0.816879,0.358736,3,7,0,12.6982,-0.128312,-1.05202,-1.91824,0.297702,1.95717,2.02334,-0.192219
-5.13722,0.982126,0.358736,3,7,0,9.8116,0.899949,0.618897,2.93057,1.34082,-0.721714,-0.846232,0.630725
-1.97785,0.992562,0.358736,3,7,0,7.01166,1.25783,0.504583,0.3586,-0.532414,0.365754,1.905,0.449998
-2.33415,0.951872,0.358736,4,23,0,3.8075,-1.51553,-0.652179,-0.577083,0.296221,-0.565875,-2.1243,-0.991811
-1.84874,0.980294,0.358736,3,15,0,3.92537,1.12943,0.34623,0.116971,-0.0401426,0.667905,1.8941,0.897488
-2.19144,0.984038,0.358736,3,15,0,3.60105,0.907556,0.301572,0.706561,0.316091,0.643309,-1.60407,0.308641
-1.26013,0.996809,0.358736,3,7,0,3.40183,1.39448,0.647941,-0.374294,0.00375728,1.13136,0.524901,0.397419
-1.3715,0.84966,0.358736,3,7,0,6.77144,-1.32385,-0.488172,0.601169,0.208067,-0.836334,-0.253992,-0.471944
-0.991251,0.980869,0.358736,3,7,0,3.51702,0.0208829,0.98157,-0.45924,-0.109274,1.03751,0.0629187,0.133264
-4.3227,0.910793,0.358736,3,7,0,5.13472,-0.384355,1.05681,-0.11698,-1.1,-0.469925,2.48737,0.302412
-0.843325,0.99691,0.358736,3,7,0,5.06511,1.10906,0.648737,0.642245,-0.0953155,1.19188,0.0733285,0.474344
-0.666455,0.963371,0.358736,3,15,0,2.54746,-0.481494,-0.528115,-0.654001,0.675361,-0.368817,-0.206973,-0.0986867
-0.643363,0.707212,0.358736,3,7,0,4.86078,0.563079,0.845618,0.974249,-0.274098,0.685552,0.524351,0.382436
-1.49299,0.755628,0.358736,2,7,0,3.60768,0.734539,0.367347,0.271622,1.78982,1.18609,1.67528,0.89032
-1.13628,0.62356,0.358736,2,7,0,5.13752,1.28075,0.884412,1.04083,0.0592185,0.898308,-0.224785,0.430678
-1.37953,0.914244,0.358736,3,7,0,4.37064,0.597248,0.963113,0.652707,1.60292,0.880232,1.92677,0.753996
-1.91442,0.954563,0.358736,3,7,0,4.06004,0.744802,0.218363,1.05326,-0.745771,1.36623,-0.538095,0.230097
-3.51854,0.934233,0.358736,3,7,0,4.47357,0.225945,1.06541,0.0587125,1.76923,-0.376766,2.45447,0.984254
-2.65145,0.997191,0.358736,4,15,0,5.28628,-2.13884,-1.02822,-2.44667,-1.44653,-1.42378,-0.12622,-1.08849
-4.10217,0.948306,0.358736,3,15,0,6.8755,-2.16573,-1.2058,-3.20245,-2.10861,-1.88355,-3.10092,-2.30673
-6.61591,0.835775,0.358736,3,7,0,9.24937,-1.27957,-2.92479,-3.00234,-1.20574,-0.475574,-3.87153,-1.5263
-3.26395,0.981415,0.358736,2,3,0,7.53787,-2.26635,-2.51189,-2.58926,-2.12551,-1.81478,-2.49301,-2.44366
-5.41961,0.917816,0.358736,2,3,0,6.02524,-3.38531,-3.95582,-1.60265,-1.64487,-1.83366,-2.56422,-1.84722
-2.34557,1,0.358736,3,7,0,6.84236,-1.68955,-0.389473,-0.964006,-2.61003,-1.23641,-1.54017,-1.37059
-2.40872,0.88074,0.358736,4,15,0,5.29975,1.9044,0.545314,-0.582127,-0.0283599,-0.713824,0.655275,0.156039
-1.75033,0.99122,0.358736,3,7,0,3.63871,-0.924531,-0.616658,1.05611,0.771696,0.607946,-0.323071,0.216572
-2.98503,0.936163,0.358736,3,7,0,4.93272,-0.18276,0.652939,-1.43485,-1.3831,-2.02127,-0.17577,-0.418451
-3.87655,0.995034,0.358736,3,7,0,5.97577,-3.0771,-2.71846,-1.01807,-1.30661,-0.373902,-1.61258,-1.4236
