# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = code_8_model
# start_datetime = 2022-03-13 18:16:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\qao59dri.json
# init = 2 (Default)
# random
#   seed = 57802
# output
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\code_8-20220313191652_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.320097
# Diagonal elements of inverse mass matrix:
# 2.04301, 2.01816, 1.81876, 2.02297, 2.06557, 1.90781, 1.0179
-9.1536,1,0.320097,3,7,0,15.9717,0.258465,2.3114,2.14142,1.22254,1.58168,2.25676,1.40113
-10.651,0.928281,0.320097,3,7,0,13.5952,0.279963,2.96989,2.00496,2.11159,1.54002,2.82595,1.4474
-10.0686,0.861339,0.320097,3,7,0,13.351,1.41608,2.70179,2.10031,2.67636,2.62247,1.39941,2.29091
-17.9304,0.619947,0.320097,3,7,0,21.3512,4.22456,2.43494,1.79127,4.77885,0.178549,3.31211,2.93764
-14.2795,1,0.320097,3,7,0,20.5818,4.74356,4.12049,2.44504,3.63461,1.62545,3.14982,2.77865
-13.538,0.678238,0.320097,4,15,0,22.5388,1.94534,1.1564,-0.511656,0.806015,-1.18869,0.306178,1.39925
-9.80343,0.997347,0.320097,4,15,0,16.3589,-0.749279,0.0836417,2.40712,0.773479,1.32138,0.797894,0.403971
-9.39764,0.774664,0.320097,2,3,0,12.5902,-0.6086,-0.11393,1.82818,0.584251,0.754632,1.06607,1.02494
-8.58931,0.9999,0.320097,4,23,0,11.1903,-1.50589,-2.4166,-1.31485,-0.8323,-0.810944,-1.15771,-0.767173
-7.64426,0.996442,0.320097,4,23,0,10.1492,0.274411,1.03698,0.352835,0.109246,-0.202153,0.0923134,0.697836
-8.63047,0.993019,0.320097,3,7,0,9.5883,1.21019,0.0817021,1.67789,1.07454,1.64841,1.23623,1.4631
-8.84286,0.977118,0.320097,4,23,0,11.5072,-1.36758,-1.50386,-0.00102867,-2.06615,-1.65926,-1.99342,-1.04324
-9.67197,0.980657,0.320097,3,7,0,11.3406,-1.46032,0.267789,-0.320415,-1.67186,-1.60237,-2.38379,-1.28433
-9.51975,0.771344,0.320097,5,47,0,14.0893,-1.03714,-2.91808,-1.38807,-2.04198,-1.53845,-0.448787,-1.59749
-9.57159,0.723345,0.320097,4,31,0,18.4361,0.0900971,2.21843,1.43688,2.24637,1.471,0.0251799,1.1787
-7.71734,0.866516,0.320097,3,15,0,12.6677,0.496753,0.115186,0.90593,0.939432,-0.408926,1.48764,0.546856
-9.44314,0.94247,0.320097,3,7,0,11.0591,0.218222,2.54216,0.228964,1.54937,0.0737934,1.54794,0.985629
-8.53393,0.997405,0.320097,3,15,0,11.7562,-0.184987,-1.32653,1.14461,-1.24675,-0.0650913,-0.373538,-0.311048
-11.0113,0.919934,0.320097,3,7,0,12.5509,-1.14635,-2.02344,0.990572,-0.0601137,1.48453,-0.996586,-0.222375
-11.6,0.979688,0.320097,3,7,0,13.241,-1.31484,-2.25054,0.00273367,-0.299785,1.7623,-1.36287,-0.325105
-12.7823,0.985168,0.320097,3,7,0,14.8164,1.61592,2.77582,-0.0279367,-0.174429,-1.4378,1.78556,0.575362
-12.8239,0.914305,0.320097,4,15,0,17.9119,1.56744,1.10366,2.97927,2.23686,3.92496,1.4958,2.5432
-13.148,0.985789,0.320097,3,7,0,16.7994,1.25344,1.27493,3.30685,2.95933,0.798628,3.60197,1.37758
-8.82887,0.996039,0.320097,3,7,0,14.9439,0.474004,0.336101,0.825162,1.40569,1.33562,1.54023,1.45974
-8.14705,0.78876,0.320097,3,15,0,14.7629,0.113479,0.753385,1.16359,1.12207,0.515698,1.87291,0.443518
-7.62199,0.980568,0.320097,4,15,0,9.46464,-0.398583,0.540855,0.378718,0.357662,0.1051,1.44803,0.11043
-7.93288,0.941932,0.320097,3,15,0,11.3853,0.34877,-0.615035,-0.659153,-0.558672,-0.261402,-1.54251,-0.818359
-7.82247,0.961084,0.320097,3,7,0,11.2707,-0.956193,0.149386,0.158551,-0.105364,-0.199235,0.953235,-0.350167
-8.0771,0.915819,0.320097,3,15,0,10.5297,1.00436,0.508499,-0.496444,0.655831,0.687209,-0.140308,-0.154568
-8.08821,0.896906,0.320097,3,15,0,13.0205,-2.02178,-1.49808,-0.374561,-1.65801,-1.45992,-0.871146,-1.23204
-10.6586,0.954108,0.320097,3,7,0,11.7294,-0.841063,-3.09308,-3.21213,-2.08034,-1.56435,-2.34163,-2.06103
-10.0971,0.578165,0.320097,3,15,0,21.5921,-1.11139,1.24232,1.17499,0.504397,-1.05565,1.4678,0.541801
-7.53229,0.984648,0.320097,3,15,0,12.8867,-0.509134,-0.40873,0.297361,-0.772729,0.212232,-1.32886,-0.199703
-8.4295,0.953404,0.320097,3,7,0,9.88447,-1.55046,-0.381422,0.129425,0.261261,0.18295,1.02113,-0.255012
-8.33032,0.993739,0.320097,4,15,0,10.7518,-1.41331,-0.64314,-1.83744,-0.50108,-1.82877,-1.90353,-0.981588
-10.201,0.919061,0.320097,3,7,0,11.9703,-1.99419,-0.735806,-2.99894,-0.232312,-0.276207,-1.61602,-1.00592
-11.3725,0.944535,0.320097,3,7,0,14.5911,-2.41908,-3.30618,-1.49719,-0.856547,-1.35216,0.0909638,-1.66119
-12.4703,0.926428,0.320097,3,7,0,16.9214,0.554728,2.36439,0.0418391,-1.17995,-0.990113,-1.80581,-0.458756
-9.38329,1,0.320097,3,15,0,16.8018,-2.11303,-2.35055,-2.11884,-0.371385,-1.81537,-2.36141,-1.46428
-10.868,0.844763,0.320097,4,15,0,14.5158,-1.4997,-2.21721,-1.4194,-3.16736,-2.78939,-0.980633,-1.22604
-10.7611,0.873262,0.320097,3,7,0,13.0751,-2.23225,-1.4514,-1.83567,0.171928,-0.715082,-2.35718,-1.76697
-7.74855,0.991756,0.320097,3,7,0,13.4063,-1.4139,-0.872444,-1.10401,-1.80817,-0.1533,-1.22738,-1.01269
-7.74767,0.825464,0.320097,3,7,0,14.0808,-0.805745,-1.31495,-1.07055,-0.294428,-1.64587,-0.880942,-1.1748
-10.3498,0.886968,0.320097,3,15,0,12.0503,-1.2642,-1.70301,0.636596,0.376176,-1.8766,-0.370749,-0.114401
-11.011,1,0.320097,3,7,0,12.2415,-0.957168,-1.95624,0.935797,0.386426,-2.04467,0.151482,-0.135313
-11.6288,0.978223,0.320097,3,15,0,16.0823,0.0225504,0.735767,-1.20973,2.48138,1.11676,-0.715304,-0.0861651
-10.6904,0.859606,0.320097,3,15,0,16.363,1.00812,0.119538,2.21094,-0.976065,-0.94068,1.20782,0.172699
-9.6243,0.994088,0.320097,3,7,0,11.6889,0.449413,0.813163,-0.843522,2.14059,1.76456,0.274142,0.565522
-12.1402,0.940593,0.320097,3,15,0,15.0643,3.8132,2.07198,1.32065,0.0511375,0.998255,0.564119,1.56034
-11.7636,0.789935,0.320097,3,15,0,19.1161,-2.36387,-0.696568,-1.41851,1.30603,0.320188,0.22123,0.11817
-13.8768,0.994897,0.320097,3,7,0,15.8215,0.739612,-1.18076,-0.564728,-3.88992,-1.9754,-1.82897,-0.853225
-8.67322,0.904088,0.320097,3,7,0,17.0229,0.115894,-1.63526,0.101368,-0.0103165,-1.07305,-1.42962,-0.898716
-7.69838,0.981566,0.320097,3,7,0,10.3648,-0.312729,-1.10396,-0.328939,0.245419,-0.902958,-1.02862,-0.839892
-7.7405,0.923823,0.320097,3,7,0,10.4535,-1.1644,-0.476349,-0.452895,-1.05242,-0.205545,-0.83007,-1.05832
-7.40041,0.956086,0.320097,3,7,0,11.5555,-0.229865,-0.99703,-1.10111,-0.532571,-1.38895,-0.697486,-0.966706
-8.50083,0.826065,0.320097,2,3,0,9.38791,-0.479276,-0.794719,-0.960097,0.101903,-1.64897,-0.980207,-1.20143
-8.77028,0.984586,0.320097,4,23,0,12.3014,0.991607,1.40959,1.61003,0.52365,2.14815,1.50779,0.701833
-6.96874,0.998808,0.320097,3,15,0,10.1219,-0.374884,-0.31358,0.211104,0.867796,0.0847399,-0.0885138,-0.0223899
-8.36848,0.9147,0.320097,3,7,0,10.1869,0.242402,-1.1069,1.38534,-0.525718,0.491277,-0.284249,-0.0752985
