# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = code_8_model
# start_datetime = 2022-03-13 18:16:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\qao59dri.json
# init = 2 (Default)
# random
#   seed = 57802
# output
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\code_8-20220313191652_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.331991
# Diagonal elements of inverse mass matrix:
# 1.887, 1.93885, 1.80715, 1.81977, 1.75497, 1.92308, 0.888997
-8.44027,0.970694,0.331991,3,7,0,9.26575,1.49172,1.11345,1.58568,0.246995,-0.160078,1.35428,1.10854
-7.76179,0.998562,0.331991,3,15,0,9.75756,-0.643206,1.01239,0.809416,0.874101,0.0647342,0.443487,0.0889728
-7.63851,0.983301,0.331991,3,15,0,11.4899,-0.576908,-0.923292,-0.373874,0.688935,-0.913295,-0.462114,-0.0982249
-7.96307,0.975357,0.331991,3,15,0,9.26423,-0.892514,0.35851,-0.164995,0.662591,0.0227986,0.842654,-0.270196
-10.5976,0.853311,0.331991,3,7,0,16.6001,0.82605,0.282907,-1.40977,-2.35945,0.10721,0.701155,-0.261638
-10.2554,0.944084,0.331991,3,7,0,15.4994,-2.44215,0.0717617,-0.985446,-1.67138,-0.141838,0.715745,-0.461902
-11.1322,0.967961,0.331991,2,3,0,11.3274,-2.7074,0.033771,-1.00416,-1.91641,-0.22758,0.606035,-0.39576
-12.7442,0.975298,0.331991,3,15,0,15.5465,3.46657,0.4985,1.74279,2.66267,0.97446,0.074153,1.87335
-7.33054,0.995198,0.331991,3,7,0,13.4742,0.753746,1.30455,1.25015,1.67522,1.32035,0.880683,0.984862
-8.74119,0.888101,0.331991,3,7,0,10.0687,1.64406,0.224428,0.751523,1.43064,-0.697075,1.422,0.700923
-8.4095,0.999766,0.331991,3,7,0,9.50693,1.198,0.430942,0.745892,1.7294,-0.530975,1.39435,0.819804
-8.72037,0.964138,0.331991,4,15,0,11.389,0.632875,1.4399,1.17038,0.206399,2.46413,0.36421,1.02505
-10.3362,0.71401,0.331991,3,7,0,12.1786,1.07545,0.675759,1.72045,1.34666,-0.292883,0.955222,-0.0376357
-10.2034,0.96021,0.331991,3,7,0,14.4181,0.543163,-1.54378,2.00036,1.01906,0.880316,0.890975,0.750765
-9.88675,0.999799,0.331991,4,15,0,13.3676,-2.35225,-0.391757,-1.0681,-1.30499,-1.91662,0.562924,-1.15407
-8.79015,0.976342,0.331991,3,7,0,11.7335,0.09824,-1.96355,-1.09417,-0.5412,0.324995,-1.04846,-0.286307
-11.056,0.897681,0.331991,2,7,0,13.9108,1.04004,-2.22429,-1.07832,-0.508802,1.14702,-1.30125,-0.455656
-11.4717,0.987861,0.331991,3,7,0,13.0722,-3.01705,0.63245,-0.325447,-0.918308,-2.205,-0.315791,-0.78098
-8.66031,0.983636,0.331991,3,15,0,16.8619,-0.178037,1.46178,-0.983318,1.34915,0.127369,0.290684,0.257824
-8.95902,0.988339,0.331991,3,7,0,10.5534,1.2211,-0.468921,2.11261,-0.215712,0.969535,0.816416,0.704972
-10.0388,0.889608,0.331991,3,7,0,14.4819,1.40856,2.30905,1.61891,1.34057,1.02313,-0.657796,1.39963
-12.7461,0.804307,0.331991,3,7,0,17.5731,3.98365,2.50489,0.830244,1.23555,0.207684,2.1116,1.85951
-11.6508,0.807692,0.331991,3,7,0,18.0281,0.28623,3.57877,0.800984,1.49612,1.88412,2.44419,1.14723
-9.27302,1,0.331991,3,7,0,13.2622,0.211115,1.74822,0.728152,0.884189,2.63689,1.93175,1.2471
-9.83193,0.947565,0.331991,3,15,0,13.2232,2.47527,1.44215,-0.80313,0.647505,0.169978,0.951088,0.703936
-12.9113,0.726901,0.331991,3,15,0,18.72,2.51676,1.31789,1.22225,-0.805338,3.06538,2.81432,1.33371
-12.2711,0.99972,0.331991,3,7,0,14.3259,1.17595,2.12583,2.25394,4.16625,0.49263,1.48194,1.92234
-9.38929,1,0.331991,3,7,0,13.4225,1.90912,3.03651,1.39336,1.71925,2.07756,2.7446,1.82073
-7.63175,0.893213,0.331991,4,19,0,12.2573,0.918171,0.0342334,0.722073,0.206979,0.0983552,0.296412,-0.157757
-9.24683,0.95725,0.331991,3,15,0,11.9767,-1.57971,-0.546879,-0.133162,-2.0762,0.129833,0.185915,-0.904476
-9.34171,0.996304,0.331991,3,15,0,11.4069,-1.65987,-0.894548,-1.00214,0.145264,-1.85021,-2.54102,-1.0264
-10.0604,0.988837,0.331991,3,7,0,12.0297,-0.473508,-0.62876,-1.67269,-1.57568,-2.31684,-3.05631,-1.53751
-9.23594,0.949746,0.331991,3,7,0,12.4508,-2.66758,-1.64514,-2.36886,-1.57006,-0.468139,-1.02036,-1.38497
-13.6972,0.715715,0.331991,3,7,0,19.4926,-3.62138,-1.43297,-0.430493,0.940261,-1.15995,-2.12739,-0.707657
-10.9003,0.972867,0.331991,4,15,0,17.2199,1.08901,2.08441,2.88978,1.02504,1.49185,0.106392,0.637884
-9.73708,0.993315,0.331991,3,15,0,14.5715,0.84431,-0.017684,0.794921,0.506956,-1.37713,-0.673518,0.627295
-7.24168,1,0.331991,2,3,0,9.93686,0.424552,0.442278,0.589179,0.739792,-0.606118,-0.339433,0.291142
-7.80709,0.91677,0.331991,3,7,0,9.46337,-0.857413,-0.777696,-0.29936,0.348673,0.988771,-0.0835417,-0.297013
-8.83853,0.876359,0.331991,4,15,0,10.5423,-0.48717,-0.451965,-0.992497,-0.703388,-2.08313,-1.04789,-0.262773
-10.0969,0.982063,0.331991,4,15,0,11.6789,2.25462,2.20123,1.5172,0.733578,0.566423,0.367111,0.500669
-8.79144,0.979226,0.331991,3,7,0,12.4112,0.148255,0.755599,2.09806,0.470534,0.902215,1.76661,0.508047
-7.79671,0.991272,0.331991,3,7,0,10.0678,1.27313,0.134552,-0.0158587,0.433025,1.1857,0.138771,0.807134
-7.26468,0.928359,0.331991,2,7,0,12.7629,0.652065,-0.169534,0.317815,1.34687,0.348187,0.465081,0.596026
-8.26963,0.984787,0.331991,4,23,0,10.3034,-1.79378,-0.950069,-1.49432,-2.52957,-1.50963,-1.52643,-1.32145
-8.57986,0.899225,0.331991,3,7,0,11.7233,-1.32595,-0.76589,-1.78066,-2.12499,-2.33393,-1.08862,-1.55545
-8.98442,0.777703,0.331991,3,7,0,13.1546,-0.957514,-1.87434,-0.334427,0.492384,0.221104,-1.54636,-0.418209
-8.15589,0.951973,0.331991,3,7,0,10.4004,-0.0692185,0.0989162,-0.908877,-0.962069,-1.30745,-0.633109,-1.02034
-9.07922,0.956076,0.331991,3,7,0,11.5791,-0.726095,-1.76143,0.197096,-0.671198,0.313937,-0.776854,-1.04309
-8.20791,0.903126,0.331991,4,23,0,13.7028,1.02842,1.97148,0.0621651,0.941924,-0.124622,0.857711,0.521011
-8.48732,0.96217,0.331991,3,7,0,11.2826,0.582451,0.386123,0.355926,1.32893,1.72979,-0.762996,0.578541
-8.92017,0.956042,0.331991,4,15,0,12.7634,-0.0853239,-1.7808,-1.79591,0.424407,-0.50946,0.0771033,-0.439881
-9.62243,0.774003,0.331991,3,7,0,12.6097,-1.11892,-0.974231,-0.915528,-1.56484,-1.91074,-1.28457,-0.33406
-8.06109,0.751415,0.331991,3,11,0,14.8094,1.0522,-0.384018,-0.120904,-0.947305,-1.0848,0.225376,-0.0668734
-8.79233,0.882372,0.331991,3,15,0,11.9536,1.51974,-0.298622,0.0680496,0.134712,-1.25951,0.0336792,-0.291543
-9.55623,0.972389,0.331991,4,15,0,11.7407,-1.89112,-2.56121,-0.403773,-1.20047,-2.23177,-1.32192,-1.00014
-10.7139,0.982473,0.331991,3,7,0,13.5201,-2.58362,-0.94219,-0.556046,-1.87613,-3.38894,-1.51247,-1.73838
-9.1461,0.705187,0.331991,3,15,0,16.7074,-1.39254,-0.653803,-1.31569,0.65069,-1.72956,-1.40432,-0.492044
-8.86629,0.99636,0.331991,3,15,0,11.7606,0.732742,-0.259522,0.598953,-1.35856,1.02442,0.594578,0.550826
-8.52812,1,0.331991,3,7,0,10.2118,-0.206623,-0.374117,1.48937,-0.0440018,1.15513,-0.124829,-0.0979495
