# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = code_9_model
# start_datetime = 2022-03-13 18:16:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\q9n8d7ts.json
# init = 2 (Default)
# random
#   seed = 97360
# output
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\code_9-20220313191652_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.363738
# Diagonal elements of inverse mass matrix:
# 2.23233, 2.28904, 1.92316, 2.14769, 2.07146, 1.96286, 1.03017
-11.9324,0.716742,0.363738,3,7,0,13.9582,0.784972,0.804027,-0.0655745,1.93317,2.36532,-1.13739,0.103271
-12.4626,0.976102,0.363738,3,7,0,18.1368,-0.64904,-1.57271,-1.61647,-0.993386,-0.0765147,2.46218,-0.125189
-14.8213,0.93741,0.363738,3,7,0,20.0223,-1.9171,-1.16761,-0.923136,-1.50626,-2.63379,-5.21333,-1.88081
-12.5749,0.969886,0.363738,3,7,0,18.0673,-3.29598,-2.64762,-3.25989,-4.41897,-2.12109,-1.80926,-2.24051
-11.3349,0.812593,0.363738,3,7,0,20.3195,-2.1382,-2.43403,-2.38317,-1.39642,-3.49507,-3.78813,-2.3046
-9.54224,0.948357,0.363738,3,7,0,14.9897,-2.09554,-1.15946,-1.13476,-2.88908,-0.169017,-1.44007,-1.33722
-7.63202,0.963673,0.363738,3,15,0,12.3432,0.292499,-0.749396,-0.935012,-1.32718,-1.24238,-1.1111,-0.769207
-10.569,0.750621,0.363738,4,15,0,13.8434,-3.36674,-2.64546,-2.49408,-2.1667,-2.14862,-2.29679,-2.66471
-9.83352,0.995969,0.363738,3,7,0,11.3731,-2.0654,-1.92222,-1.66645,-3.22115,-2.06882,-2.79663,-1.68027
-7.59053,0.88105,0.363738,3,7,0,11.7856,-1.55475,-1.47485,-1.28102,-0.916598,-1.90284,-0.861416,-1.1214
-10.0273,0.834608,0.363738,3,15,0,11.3277,-1.14959,0.952107,0.255091,-1.06972,-1.81299,-1.78746,-0.869189
-9.05036,0.912682,0.363738,3,7,0,12.9435,-0.592096,0.780029,-0.588021,-0.664938,-1.50997,-1.63674,-0.211839
-8.85614,0.991866,0.363738,3,7,0,10.8982,-1.15022,-0.144997,0.346941,-0.431292,0.570665,-1.74124,-0.695578
-8.88725,0.968849,0.363738,3,7,0,10.9735,0.242452,-0.448914,-0.563687,-0.265129,-0.0613963,1.81092,0.489463
-11.4161,0.922323,0.363738,3,7,0,13.3766,1.83502,1.16675,0.236428,0.449603,1.98987,-1.73933,0.73635
-9.11696,0.907895,0.363738,3,7,0,15.9235,2.09507,0.0372884,0.410917,-0.355162,-0.350076,0.582518,-0.0430182
-8.38889,0.947687,0.363738,3,7,0,11.2776,-1.3496,0.483953,-0.0183983,0.996487,0.344072,0.91175,0.0344622
-10.5142,0.842448,0.363738,3,15,0,11.745,0.855034,-1.92429,-0.456313,-1.87076,-0.923722,-0.913943,-0.181247
-8.72303,1,0.363738,3,7,0,11.9722,-1.39854,1.09228,0.0588143,-0.314237,0.845399,-0.773376,0.0155581
-7.96187,0.710107,0.363738,3,7,0,12.2709,1.19505,-0.795989,0.58714,-0.0320424,0.0520622,0.714153,-0.0373754
-8.0007,0.926688,0.363738,3,7,0,11.191,-0.564665,1.66641,-0.0559763,0.675376,0.537821,-0.0300842,0.307865
-7.83262,0.939048,0.363738,3,15,0,10.3224,-0.225497,-1.82945,-0.190293,-0.570072,-0.243422,0.0823111,-0.610649
-8.35158,0.974022,0.363738,3,7,0,10.0596,0.153555,-0.0976659,-0.219285,0.825386,-1.03015,-1.60282,-0.287947
-8.73514,0.948973,0.363738,3,7,0,9.85559,-1.03216,-0.545944,-0.647448,-1.70694,0.231992,0.803449,-0.655449
-8.15301,1,0.363738,2,3,0,8.96739,-0.640688,-0.597172,-0.757963,-1.68772,-0.032467,0.648828,-0.595285
-9.20678,0.914728,0.363738,4,23,0,11.4125,1.18673,1.11368,1.57377,1.1293,0.0480568,-0.621478,1.10537
-9.36774,0.985379,0.363738,3,7,0,11.1055,0.724763,1.28095,-0.927905,-0.0986641,1.05716,1.92546,0.37671
-8.71118,0.997567,0.363738,3,7,0,10.7539,1.88569,0.599695,2.23453,0.948765,1.04429,0.0203484,1.10042
-8.91609,0.979184,0.363738,3,7,0,10.6617,-0.103537,0.830257,2.43495,0.893792,1.0197,-0.0629171,0.606264
-8.32812,0.974183,0.363738,3,7,0,10.9724,-0.665033,-0.00238727,0.392197,0.84597,-0.0358234,1.80171,0.374984
-7.35432,0.946173,0.363738,3,15,0,11.8875,0.217788,-1.04776,-0.328316,-0.18134,0.639369,-0.605535,-0.247154
-8.10277,0.949985,0.363738,3,7,0,9.73996,0.252989,-0.949938,-0.83612,-0.0199463,-1.82065,-0.0254385,-0.522714
-8.6178,0.972253,0.363738,3,15,0,10.5761,-1.17343,1.56859,-0.145068,0.0832546,0.698083,0.553388,0.326633
-8.49758,0.939888,0.363738,3,7,0,12.5169,1.13143,-1.08134,-0.872156,-0.291865,-0.871715,0.452862,-0.0476638
-8.30109,0.993277,0.363738,3,7,0,10.7967,0.370854,0.293165,0.786657,-0.367587,-1.41655,0.869025,0.00208952
-7.1678,0.980392,0.363738,3,7,0,9.67175,-0.428183,-1.19471,-0.649264,-0.0717787,-0.422194,-0.275541,-0.701948
-8.56161,0.81008,0.363738,2,7,0,10.7086,-0.472126,-1.84081,-1.35539,-0.498537,0.0511602,0.165744,-0.234827
-9.55693,0.975163,0.363738,3,7,0,11.6061,0.666629,-1.35722,-0.344987,-0.484578,-0.515491,1.64557,-0.361981
-9.53698,0.93458,0.363738,3,15,0,16.64,-0.678917,-0.972417,-1.21467,-0.00931981,-1.68229,1.3885,-0.47517
-9.70664,0.76737,0.363738,3,7,0,12.692,-1.68365,0.2581,-1.4173,0.0259961,-0.857281,0.491601,-1.00338
-10.0035,0.649299,0.363738,3,15,0,15.4352,-1.15402,-2.09572,1.16047,-0.190799,-0.526291,0.581372,-0.183087
-9.28358,0.952937,0.363738,3,7,0,14.5176,-0.668405,0.98067,-0.946343,0.36694,0.635275,1.87341,0.22175
-8.96625,0.911113,0.363738,3,7,0,11.6547,-0.436302,-1.87638,0.0705427,-0.943968,-1.13134,-1.59767,-0.363053
-10.9774,0.894329,0.363738,3,7,0,17.3999,0.220617,-1.26883,1.47511,-0.134353,-1.64841,-1.47616,0.0562613
-11.3628,0.945446,0.363738,3,7,0,17.581,0.074158,1.99279,-0.0607671,-1.90707,-1.35402,0.667886,-0.0410072
-8.74549,1,0.363738,3,7,0,13.3799,0.302848,-0.0509304,0.888756,0.179345,-0.258686,-1.92858,-0.19
-8.97511,0.956023,0.363738,3,7,0,11.3557,0.242351,0.246077,-0.326154,0.363732,1.59862,2.18085,0.710377
-9.06467,0.904131,0.363738,3,7,0,13.591,1.05468,0.829344,1.83637,1.20222,-0.210148,-0.842717,0.485854
-11.3574,0.679638,0.363738,3,7,0,14.9455,2.94648,2.11009,-0.0704609,0.784367,0.45981,-0.59063,0.699666
-8.71882,0.932215,0.363738,2,3,0,13.629,2.19904,1.24067,0.529496,1.24471,0.683645,-0.204153,1.07777
-9.11872,0.852293,0.363738,3,7,0,11.4081,-0.233743,1.7965,-0.0234307,1.42909,2.01787,1.20379,0.877351
-8.2596,0.957995,0.363738,3,7,0,12.1252,2.54722,0.810037,0.956392,0.897011,0.709208,1.27552,0.938012
-8.19798,0.529643,0.363738,4,15,0,13.687,0.602574,-0.674929,-0.41877,-0.900986,-1.48026,-0.60379,-0.854277
-9.77754,0.974554,0.363738,3,7,0,11.1901,-0.0838945,0.283986,-1.43321,-1.32152,-2.13004,-2.05971,-0.690823
-8.08857,0.997338,0.363738,3,15,0,12.644,0.123692,0.947311,-0.577499,-1.09728,0.0732135,0.727298,-0.190003
-10.3477,0.888129,0.363738,3,7,0,12.825,-0.356394,-0.618893,0.355104,0.936282,-1.86122,1.55775,0.248715
-9.97119,0.995668,0.363738,3,7,0,12.8919,-0.160826,0.00582714,-1.72334,-0.0766225,1.99427,-0.222549,0.061418
-8.34825,0.903404,0.363738,3,7,0,12.1569,0.459932,0.660592,-0.183249,0.372605,-0.908572,-1.38183,-0.383092
-7.6288,0.923322,0.363738,3,15,0,10.1853,-0.96691,0.26034,0.155372,-0.875831,-0.442246,-1.26714,-0.618195
-9.88287,0.68071,0.363738,2,3,0,12.1649,-2.17526,0.562661,0.829957,-1.1578,-1.11942,-0.740308,-0.652965
