# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = code_9_model
# start_datetime = 2022-03-13 18:16:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\q9n8d7ts.json
# init = 2 (Default)
# random
#   seed = 97360
# output
#   file = C:\Users\xyz\AppData\Local\Temp\tmphgq1ju2j\code_9-20220313191652_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.375079
# Diagonal elements of inverse mass matrix:
# 2.06846, 1.83519, 1.93737, 1.8035, 2.05378, 1.76731, 0.935178
-7.7495,0.71992,0.375079,3,11,0,14.057,-0.52848,-0.195406,-1.23406,-1.89108,-0.943827,-1.19391,-0.800145
-7.74688,0.895889,0.375079,3,15,0,13.7627,0.966524,1.63403,1.97947,1.38914,1.07108,1.73246,1.19705
-7.83298,0.735182,0.375079,3,7,0,12.516,0.63245,0.935071,-0.523971,0.710931,-0.117445,0.607217,-0.0728256
-8.20385,0.917521,0.375079,2,7,0,9.55253,0.0729414,0.418432,0.394689,0.266684,0.564041,0.832574,1.02454
-11.1156,0.782823,0.375079,3,7,0,13.75,0.371709,0.881621,1.52242,1.32837,0.499332,-0.270557,1.59935
-9.25201,0.980741,0.375079,4,23,0,12.6441,-0.483979,-0.911363,-1.53467,-1.83425,-0.082981,0.332144,-1.13044
-8.52188,0.973082,0.375079,3,7,0,12.7547,-0.141673,-1.57705,-1.0611,-1.06982,-0.727051,0.793573,-0.74301
-8.52801,0.974278,0.375079,3,15,0,10.9161,0.740307,-0.497239,-0.329776,-0.510846,-0.968524,1.3689,0.148902
-13.4201,0.654696,0.375079,3,7,0,20.7677,-0.916777,1.69831,2.88248,2.55448,0.580188,0.158995,0.463462
-14.2845,0.982184,0.375079,3,7,0,17.9785,2.42045,-1.16478,-1.01284,-2.37363,0.916971,0.343127,0.249481
-11.0694,0.924619,0.375079,3,7,0,18.5807,-1.51171,0.543745,-0.365982,-0.729322,-2.66831,0.0333667,-0.128791
-11.5037,0.833813,0.375079,3,15,0,16.1467,-1.61286,-1.00219,-0.621084,-1.59196,-1.50084,-0.422907,-2.0132
-10.316,0.983064,0.375079,3,15,0,14.9931,1.42535,0.840475,0.477956,1.37702,1.62762,0.355622,-0.0104752
-10.4953,0.967801,0.375079,3,7,0,14.1626,0.601396,1.5601,2.62632,-0.00329912,1.14982,1.54187,0.444936
-9.2874,0.99898,0.375079,3,7,0,12.6511,1.01905,-0.144358,-0.858633,0.407267,0.703482,-0.138144,-0.552913
-11.0469,0.844518,0.375079,3,7,0,12.1747,-1.26798,-0.157375,0.535915,-0.794443,-0.955196,-0.300289,-1.41343
-11.9705,0.977766,0.375079,3,7,0,14.7302,0.144315,-2.40908,-2.70159,-1.15412,-1.05962,-1.60714,-2.00611
-10.2485,0.993905,0.375079,3,7,0,14.3783,-1.74346,-1.48874,-1.58344,-1.69333,-0.492217,-2.95655,-0.864096
-11.4803,0.971604,0.375079,3,7,0,14.4233,-0.738933,-2.36601,-3.15264,0.0800021,-1.74733,-0.0346493,-1.11937
-8.62494,1,0.375079,3,7,0,12.5884,-0.733018,-2.7796,-1.50762,-0.92764,-1.09114,-1.10013,-1.24777
-9.76062,0.890697,0.375079,3,7,0,10.9059,-2.44668,0.189787,-0.927937,-2.32689,-1.53053,-1.62503,-1.11467
-9.22196,0.796994,0.375079,3,7,0,12.8427,-1.48154,-1.08596,-1.56005,-1.57301,-1.08851,-2.93394,-1.00938
-12.4306,0.930208,0.375079,3,7,0,14.956,-1.96295,-3.50464,-1.97188,0.594481,-2.15352,-2.16355,-1.71336
-10.209,1,0.375079,2,3,0,12.7741,-2.12701,-2.61684,-2.12451,0.176866,-1.64016,-2.13783,-1.56544
-10.2502,0.847314,0.375079,3,7,0,15.6842,-0.0867294,-1.75883,-3.02758,-2.17917,-1.12641,-0.606937,-1.21962
-11.9196,0.864411,0.375079,3,7,0,14.4536,-1.47852,-0.467547,0.407676,-2.18335,-1.17994,-3.22728,-0.735563
-7.65318,0.969126,0.375079,3,7,0,13.5556,-0.416269,-1.06887,-0.0688294,-1.43956,-0.146593,-1.39099,-0.587496
-8.34718,0.729751,0.375079,3,7,0,12.0226,-0.0271481,-0.790084,-0.682961,-1.36856,-0.918973,-0.593946,-0.0391571
-7.8815,0.978355,0.375079,4,23,0,11.5038,0.376511,1.10665,0.623452,1.63944,0.938152,1.81664,1.1398
-8.37763,0.862862,0.375079,3,7,0,10.3071,1.54756,0.822115,2.24648,0.712857,1.02102,0.038429,0.827404
-9.27669,0.902418,0.375079,3,15,0,14.0525,-1.52421,-0.952761,-2.3938,-1.59136,-0.179586,0.22209,-0.92442
-7.96285,0.950524,0.375079,3,15,0,13.2811,1.54647,1.34319,1.29368,0.89033,-0.194081,0.194492,0.737298
-10.4509,0.823532,0.375079,4,15,0,12.6191,0.705666,1.06319,2.08748,2.13684,3.18425,2.32576,1.9896
-13.1682,0.846186,0.375079,3,7,0,15.6679,2.87924,3.53209,-0.0292903,0.0975749,1.40455,1.06873,1.66273
-12.5287,0.876768,0.375079,3,15,0,23.2519,-1.60442,-2.12418,1.41509,1.5153,0.00335326,0.183891,0.256397
-11.5965,0.865319,0.375079,3,7,0,17.3414,1.45709,-1.11721,-1.65907,-0.524535,1.51013,-0.139365,-0.554679
-9.3304,0.853616,0.375079,3,15,0,14.8494,0.241659,-0.604271,-2.42154,-0.980952,-0.184226,0.193623,-0.801001
-8.56889,0.928789,0.375079,3,7,0,14.0028,0.477203,-0.882273,-0.13299,1.42358,1.33271,-0.0658621,0.185827
-7.62816,0.999848,0.375079,3,7,0,9.30833,1.01546,0.0479631,-0.63403,0.848351,1.07707,0.402592,0.391259
-7.70691,0.935635,0.375079,3,15,0,9.14357,-0.83619,-0.370647,0.540465,-0.697414,-0.340057,-0.614032,-0.746616
-7.97771,0.996782,0.375079,3,7,0,8.53444,0.551289,-0.460303,-1.33984,0.29308,-0.345876,0.259364,-0.456356
-8.58605,0.867825,0.375079,3,7,0,11.5218,-0.61225,0.404547,1.30143,-0.227391,0.535523,-0.304518,-0.352512
-7.23398,0.986492,0.375079,3,15,0,11.0829,-0.850771,0.078227,0.41379,-1.01684,-0.11354,-0.103206,-0.197253
-8.21938,0.80128,0.375079,2,3,0,9.66695,-0.733947,0.444389,0.300056,-1.71908,-0.79377,-0.016421,-0.261135
-8.32333,0.761128,0.375079,3,15,0,14.6738,1.09162,0.148326,0.26594,2.13368,1.35475,0.504135,0.6278
-8.63687,0.955244,0.375079,3,7,0,11.5181,0.954462,1.23399,1.27627,2.05393,2.2302,2.35111,1.6113
-10.7155,0.819705,0.375079,2,3,0,12.5543,0.61379,1.36112,0.534882,2.36778,3.20541,2.45691,1.52597
-10.2661,0.969364,0.375079,3,7,0,13.4473,2.31925,0.857786,0.979076,3.14916,0.359757,0.780391,1.34138
-13.8425,0.927777,0.375079,4,15,0,21.3425,4.06026,2.54173,2.69152,4.73507,1.482,2.3606,2.64978
-15.3031,0.786258,0.375079,3,7,0,19.5624,-0.7614,2.50666,2.25967,-0.140243,3.34542,1.97487,1.9346
-11.571,1,0.375079,3,7,0,18.5226,3.36956,2.9492,3.03549,2.56749,0.81852,2.57241,2.48716
-8.06505,0.994309,0.375079,4,15,0,12.8461,-1.0751,-1.42361,-1.17622,-2.03027,-2.03976,-1.49839,-1.55249
-8.67499,0.809653,0.375079,3,7,0,12.1523,-1.48926,-1.14029,-1.6282,-1.88923,-1.58729,-2.00235,-1.89247
-9.76031,0.537921,0.375079,2,3,0,14.8698,-3.25712,-1.61138,-1.27451,-2.04989,-1.5323,-2.72032,-1.75766
-11.7975,0.931104,0.375079,3,15,0,13.3343,0.396451,-3.64944,-1.58308,-1.98187,-1.55031,-1.21831,-1.46313
-9.6645,1,0.375079,3,15,0,13.4941,-1.75471,1.80212,0.0930584,0.227691,0.334805,0.350463,0.14357
-8.49842,0.987682,0.375079,3,7,0,12.1158,1.69654,-0.0603783,2.12792,0.463046,0.615918,0.967076,0.876706
-8.13279,1,0.375079,3,7,0,9.45999,0.887165,-0.257797,1.55059,1.26146,0.380362,1.61953,0.821132
-9.73277,0.744779,0.375079,2,3,0,10.4515,0.475065,-0.455372,1.43247,0.95741,0.538033,1.94603,1.30186
-11.3632,0.927481,0.375079,2,7,0,12.8354,0.570149,-0.99108,1.65669,0.900708,-0.284858,2.0266,1.20414
-11.0059,0.921299,0.375079,3,7,0,14.4856,0.786833,1.77325,-1.11016,1.01958,1.13442,1.0264,-0.078568
-10.422,0.97534,0.375079,3,7,0,13.0902,-0.490186,-2.13352,1.27245,-1.5674,-0.937351,-0.997625,-0.986707
-8.96758,0.996323,0.375079,3,15,0,13.1651,-1.3066,-1.59007,0.765415,0.0461781,0.232968,-0.360841,0.0137133
-8.40813,0.980514,0.375079,3,7,0,11.1026,-0.663249,0.307032,-1.46885,-1.76584,-0.869524,-0.978809,-1.0826
